# Ideographic Description Sequences (IDS) for CJK Unified Ideographs Extension J
# Supplement to BabelStone IDS.TXT <https://babelstone.co.uk/CJK/IDS.TXT>, whose last release covers
#	Unicode 16.0 and stops at U+323AF; this file covers the block the former does not.
# File Encoding: UTF-8 with BOM and CR/LF
# Unicode Version: 17.0 (September 2025)
# Total entries: 4,298
#
# The format, the component conventions (sections 5 to 9) and the numbered unencoded components ({n}) are
#	those of IDS.TXT; see its header.
#
# Sources:
#	The IDS column of the IRG Working Set 2021 (v7.0) review database <https://hc.jsecs.org/irg/ws2021/app/>,
#	from which Extension J was encoded, mapped to code points through the kIRG_*Source references of Unihan,
#	normalized to the IDS.TXT conventions, and checked character by character against the source glyphs of
#	the Unicode code charts. Source letters are those of IDS.TXT section 8.
#
# Kang Seonghoon is the sole author of this database and waives all rights to it as per IDS.TXT.
# Claude Opus 5.5 was used to semi-automatically prepare this database.
#
# CJK Unified Ideographs Extension J (4,298 characters)
# 4,298 characters added in Unicode version 17.0 (September 2025)
U+323B0	𲎰	^⿻丅𠃍$(U)
U+323D3	𲏓	^⿺乙平$(G)
U+323D4	𲏔	^⿱古乙$(K)
U+323D5	𲏕	^⿱未乙$(K)
U+323D6	𲏖	^⿱右乙$(K)
U+323D7	𲏗	^⿱叱乙$(K)
U+323D8	𲏘	^⿺𠃊㠯$(S)
U+323D9	𲏙	^⿱句乙$(K)
U+323DA	𲏚	^⿱代乙$(K)
U+323DB	𲏛	^⿺乙母$(B)
U+323DC	𲏜	^⿱多乙$(K)
U+323DD	𲏝	^⿱朴乙$(K)
U+323DE	𲏞	^⿱此乙$(K)
U+323DF	𲏟	^⿱朱乙$(K)
U+323E0	𲏠	^⿱舛乙$(K)
U+323E1	𲏡	^⿱艮乙$(K)
U+323E2	𲏢	^⿱求乙$(K)
U+323E3	𲏣	^⿰孛乙$(V)
U+323E4	𲏤	^⿱余乙$(K)
U+323E5	𲏥	^⿱条乙$(K)
U+323E6	𲏦	^⿱尾乙$(K)
U+323E7	𲏧	^⿱物乙$(K)
U+323E8	𲏨	^⿱垂乙$(K)
U+323E9	𲏩	^⿱居乙$(K)
U+323EA	𲏪	^⿱阿乙$(K)
U+323EB	𲏫	^⿱迲乙$(K)
U+323EC	𲏬	^⿱茄乙$(K)
U+323ED	𲏭	^⿱省乙$(K)
U+323EE	𲏮	^⿱昭乙$(K)
U+323EF	𲏯	^⿱飛乙$(K)
U+323F0	𲏰	^⿱草乙$(K)
U+323F1	𲏱	^⿱骨乙$(K)
U+323F2	𲏲	^⿱條乙$(K)
U+323F3	𲏳	^⿺乳下$(V)
U+323F4	𲏴	^⿱高乙$(K)
U+323F5	𲏵	^⿱玆乙$(K)
U+323F6	𲏶	^⿱累乙$(K)
U+323F7	𲏷	^⿰胃也$(V)
U+323F8	𲏸	^⿺㐌杜$(V)
U+323F9	𲏹	^⿱無乙$(K)
U+323FA	𲏺	^⿱註乙$(K)
U+323FB	𲏻	^⿱登乙$(K)
U+323FC	𲏼	^⿱照乙$(K)
U+323FD	𲏽	^⿺乳羽$(V)
U+323FE	𲏾	^⿱道乙$(K)
U+323FF	𲏿	^⿺乳所$(V)
U+32400	𲐀	^⿺乳事$(V)
U+32401	𲐁	^⿰耒了$(V)
U+32402	𲐂	^⿱二山$(G)
U+32403	𲐃	^⿱二百$(U)
U+32404	𲐄	^⿱云巴$(G)
U+32405	𲐅	^⿱勿云$(G)
U+32406	𲐆	^⿱二非$(V)
U+32407	𲐇	^⿰亚尔$(G)
U+32408	𲐈	^⿱云⿰云云$(G)
U+32409	𲐉	^⿰五茅$(G)
U+3240A	𲐊	^⿰二為$(V)
U+3240B	𲐋	^⿱五淫$(V)
U+3240C	𲐌	^⿱亠𰀡$(T)
U+3240D	𲐍	^⿱亠保$(T)
U+3240E	𲐎	^⿳亠罒木$(S)
U+3240F	𲐏	^⿺夜今$(G)
U+32410	𲐐	^⿱亠宮$(U)
U+32411	𲐑	^⿰亡涓$(V)
U+32412	𲐒	^⿺亮克$(G)
U+32413	𲐓	^⿱亠徵$(U)
U+32414	𲐔	^⿱亡罷$(T)
U+32415	𲐕	^⿰亻丅$(U)
U+32416	𲐖	^⿰乃人$(V)
U+32417	𲐗	^⿱𠆢亐$(T)
U+32418	𲐘	^⿰亻切$(T)
U+32419	𲐙	^⿱𠆢木$(T)
U+3241A	𲐚	^⿱付人$(K)
U+3241B	𲐛	^⿰亻𰀊$(S)
U+3241C	𲐜	^⿲亻丨欠$(T)
U+3241D	𲐝	^⿰亻𫵲$(B)
U+3241E	𲐞	^⿰亻犯$(G)
U+3241F	𲐟	^⿱⿻弓人⺀$(T)
U+32420	𲐠	^⿰亻⿱𠤎天$(B)
U+32421	𲐡	^⿰亻西$(V)
U+32422	𲐢	^⿰仌⿱厶人$(S)
U+32423	𲐣	^⿱凹今$(G)
U+32424	𲐤	^⿰亻冏$(K)
U+32425	𲐥	^⿰亻旱$(B)
U+32426	𲐦	^⿱仍生$(G)
U+32427	𲐧	^⿰仍且$(V)
U+32428	𲐨	^⿰亻㐬$(T)
U+32429	𲐩	^⿰今尼$(V)
U+3242A	𲐪	^⿰亻阴$(G)
U+3242B	𲐫	^⿰亻忍$(G)
U+3242C	𲐬	^⿻丅𠈌$(T)
U+3242D	𲐭	^⿰亻社$(V)
U+3242E	𲐮	^⿱巨代$(V)
U+3242F	𲐯	^⿰亻岩$(T)
U+32430	𲐰	^⿰亻秉$(TK)
U+32431	𲐱	^⿰亻𭾜$(S)
U+32432	𲐲	^⿰亻庚$(T)
U+32433	𲐳	^⿰亻𡥘$(B)
U+32434	𲐴	^⿰亻⿱左月$(B)
U+32435	𲐵	^⿰亻𰦫$(V)
U+32436	𲐶	^⿱伏甲$(V)
U+32437	𲐷	^⿰亻昱$(K)
U+32438	𲐸	^⿰亻胃$(T)
U+32439	𲐹	^⿰亻⿱山西$(GB)
U+3243A	𲐺	^⿰亻弇$(K)
U+3243B	𲐻	^⿰亻奐$(TK)
U+3243C	𲐼	^⿰仍但$(V)
U+3243D	𲐽	^⿰亻冠$(K)
U+3243E	𲐾	^⿰亻美$(TV)
U+3243F	𲐿	^⿰亻度$(T)
U+32440	𲑀	^⿰亻架$(G)
U+32441	𲑁	^⿰亻彧$(K)
U+32442	𲑂	^⿰亻扆$(S)
U+32443	𲑃	^⿲亻丨㚅$(T)
U+32444	𲑄	^⿱但正$(V)
U+32445	𲑅	^⿱亠⿻十𠈌$(T)
U+32446	𲑆	^⿰亻⿱关灬$(V)
U+32447	𲑇	^⿰亻基$(K)
U+32448	𲑈	^⿰亻堅$(B)
U+32449	𲑉	^⿰孛𫢋$(V)
U+3244A	𲑊	^⿰亻卨$(K)
U+3244B	𲑋	^⿰亻常$(T)
U+3244C	𲑌	^⿰亻造$(GT)
U+3244D	𲑍	^⿰亻部$(T)
U+3244E	𲑎	^⿰何牢$(V)
U+3244F	𲑏	^⿱𠆢⿰⿳𠆢𠆢𠆢⿳𠆢𠆢𠆢$(B)
U+32450	𲑐	^⿰亻弼$(K)
U+32451	𲑑	^⿰亻隆$(UB)
U+32452	𲑒	^⿰亻畫$(V)
U+32453	𲑓	^⿰亻雷$(GV)
U+32454	𲑔	^⿰亻勤$(T)
U+32455	𲑕	^⿰亻睪$(T)
U+32456	𲑖	^⿱依冏$(T)
U+32457	𲑗	^⿰亻遂$(B)
U+32458	𲑘	^⿰亻⿱品尒$(S)
U+32459	𲑙	^⿰亻裹$(S)
U+3245A	𲑚	^⿱倍夷$(B)
U+3245B	𲑛	^⿰亻屢$(V)
U+3245C	𲑜	^⿰亻鞋$(B)
U+3245D	𲑝	^⿰㒂力$(T)
U+3245E	𲑞	^⿰亻賤$(T)
U+3245F	𲑟	^⿰亻𪧨$(K)
U+32460	𲑠	^⿰亻毅$(K)
U+32461	𲑡	^⿰亻廛$(V)
U+32462	𲑢	^⿱合⿰并并$(T)
U+32463	𲑣	^⿰直候$(V)
U+32464	𲑤	^⿰亻蕢$(K)
U+32465	𲑥	^⿰亻錦$(G)
U+32466	𲑦	^⿰亻⿱覀國$(UB)
U+32467	𲑧	^⿰亻𫶝$(T)
U+32468	𲑨	^⿰低會$(V)
U+32469	𲑩	^⿰責偏$(V)
U+3246A	𲑪	^⿰亻靈$(B)
U+3246B	𲑫	^⿱倍應$(B)
U+3246C	𲑬	^⿰光入$(V)
U+3246D	𲑭	^⿺光中$(T)
U+3246E	𲑮	^⿰兆分$(G)
U+3246F	𲑯	^⿰光另$(V)
U+32470	𲑰	^⿺尧吉$(B)
U+32471	𲑱	^⿰光豸$(V)
U+32472	𲑲	^⿰光昌$(G)
U+32473	𲑳	^⿰光其$(T)
U+32474	𲑴	^⿺光㒸$(T)
U+32475	𲑵	^⿰光除$(V)
U+32476	𲑶	^⿱敖免$(T)
U+32477	𲑷	^⿰光曾$(G)
U+32478	𲑸	^⿺先⿱成母$(B)
U+32479	𲑹	^⿺兒堯$(S)
U+3247A	𲑺	^⿰吞入$(V)
U+3247B	𲑻	^⿱入軰$(S)
U+3247C	𲑼	^⿱秋全$(B)
U+3247D	𲑽	^⿱入塵$(B)
U+3247E	𲑾	^⿱丷了$(G)
U+3247F	𲑿	^⿱加八$(K)
U+32480	𲒀	^⿰其令$(T)
U+32481	𲒁	^⿰娄六$(V)
U+32482	𲒂	^⿱杜具$(V)
U+32483	𲒃	^⿰养餒$(V)
U+32484	𲒄	^⿵冂⿱从人$(S)
U+32485	𲒅	^⿻冂合$(GU)
U+32486	𲒆	^⿵冂書$(U)
U+32487	𲒇	^⿱冖八$(B)
U+32488	𲒈	^⿱冖支$(V)
U+32489	𲒉	^⿱冖龰$(S)
U+3248A	𲒊	^⿳冖八免$(T)
U+3248B	𲒋	^⿰冫夕$(U)
U+3248C	𲒌	^⿰冫甘$(V)
U+3248D	𲒍	^⿰冫朱$(V)
U+3248E	𲒎	^⿰冫麦$(G)
U+3248F	𲒏	^⿰冫更$(U)
U+32490	𲒐	^⿰冫足$(T)
U+32491	𲒑	^⿰冫含$(T)
U+32492	𲒒	^⿰冫舍$(T)
U+32493	𲒓	^⿲冫关刂$(T)
U+32494	𲒔	^⿰冫美$(V)
U+32495	𲒕	^⿲冫𣧄刂$(B)
U+32496	𲒖	^⿰冷尼$(G)
U+32497	𲒗	^⿰冫票$(G)
U+32498	𲒘	^⿰冫累$(T)
U+32499	𲒙	^⿰冫雋$(K)
U+3249A	𲒚	^⿰冫論$(V)
U+3249B	𲒛	^⿰寒列$(V)
U+3249C	𲒜	^⿰冷善$(V)
U+3249D	𲒝	^⿰凛多$(V)
U+3249E	𲒞	^⿵𠘨丨$(B)
U+3249F	𲒟	^⿺凣糝$(V)
U+324A0	𲒠	^⿱巴出$(K)
U+324A1	𲒡	^⿰凶我$(G)
U+324A2	𲒢	^⿰出翟$(T)
U+324A3	𲒣	^⿰出羅$(V)
U+324A4	𲒤	^⿰止刂$(V)
U+324A5	𲒥	^⿰甲刂$(G)
U+324A6	𲒦	^⿰向刂$(G)
U+324A7	𲒧	^⿰米刀$(G)
U+324A8	𲒨	^⿰束刀$(T)
U+324A9	𲒩	^⿱刀折$(V)
U+324AA	𲒪	^⿱折刀$(V)
U+324AB	𲒫	^⿰岑刂$(G)
U+324AC	𲒬	^⿰齿刂$(V)
U+324AD	𲒭	^⿰秉刂$(T)
U+324AE	𲒮	^⿰怛刀$(V)
U+324AF	𲒯	^⿰品刂$(G)
U+324B0	𲒰	^⿱利分$(T)
U+324B1	𲒱	^⿱胎刀$(V)
U+324B2	𲒲	^⿰窄刂$(B)
U+324B3	𲒳	^⿰處刂$(B)
U+324B4	𲒴	^⿰淼刂$(B)
U+324B5	𲒵	^⿱剛正$(V)
U+324B6	𲒶	^⿰雷刂$(V)
U+324B7	𲒷	^⿰先前$(G)
U+324B8	𲒸	^⿰离分$(V)
U+324B9	𲒹	^⿰滥刂$(V)
U+324BA	𲒺	^⿰亘剛$(V)
U+324BB	𲒻	^⿰𦶝刂$(T)
U+324BC	𲒼	^⿰𬕔刂$(T)
U+324BD	𲒽	^⿰釒削$(G)
U+324BE	𲒾	^⿱劎刀$(V)
U+324BF	𲒿	^⿰魯刂$(V)
U+324C0	𲓀	^⿰𦼔刂$(V)
U+324C1	𲓁	^⿱剛振$(V)
U+324C2	𲓂	^⿱此力$(B)
U+324C3	𲓃	^⿰合力$(G)
U+324C4	𲓄	^⿰巫力$(B)
U+324C5	𲓅	^⿰昌力$(T)
U+324C6	𲓆	^⿰要力$(V)
U+324C7	𲓇	^⿰晉力$(K)
U+324C8	𲓈	^⿱助㐌$(V)
U+324C9	𲓉	^⿱𱡘力$(S)
U+324CA	𲓊	^⿰力敏$(G)
U+324CB	𲓋	^⿰𡕩力$(V)
U+324CC	𲓌	^⿰鼐力$(B)
U+324CD	𲓍	^⿱執助$(V)
U+324CE	𲓎	^⿰劳辱$(V)
U+324CF	𲓏	^⿰贊力$(TB)
U+324D0	𲓐	^⿰籚力$(B)
U+324D1	𲓑	^⿹勹舌$(G)
U+324D2	𲓒	^⿱勿正$(GUB)
U+324D3	𲓓	^⿰勺育$(V)
U+324D4	𲓔	^⿱渚勿$(V)
U+324D5	𲓕	^⿱勿會$(B)
U+324D6	𲓖	^⿰勿愛$(TUB)
U+324D7	𲓗	^⿰勿著$(V)
U+324D8	𲓘	^⿰𰍇包$(T)
U+324D9	𲓙	^⿰會包$(V)
U+324DA	𲓚	^⿱丿匹$(B)
U+324DB	𲓛	^⿰匡侖$(V)
U+324DC	𲓜	^⿱十冂$(G)
U+324DD	𲓝	^⿱十八$(G)
U+324DE	𲓞	^⿱㐅十$(G)
U+324DF	𲓟	^⿻卌㇄$(B)
U+324E0	𲓠	^⿰十六$(V)
U+324E1	𲓡	^⿰千分$(G)
U+324E2	𲓢	^⿱分千$(G)
U+324E3	𲓣	^⿰卡千$(G)
U+324E4	𲓤	^⿱十𪢴$(S)
U+324E5	𲓥	^⿱⿰冫巨十$(T)
U+324E6	𲓦	^⿳十冖令$(GT)
U+324E7	𲓧	^⿱卌卌$(B)
U+324E8	𲓨	^⿰育十$(V)
U+324E9	𲓩	^⿰埋十$(V)
U+324EA	𲓪	^⿱堆十$(S)
U+324EB	𲓫	^⿰南粦$(T)
U+324EC	𲓬	^⿱⺊艮$(V)
U+324ED	𲓭	^⿰𠦝卜$(GT)
U+324EE	𲓮	^⿰占它$(T)
U+324EF	𲓯	^⿱南卧$(V)
U+324F0	𲓰	^⿱卦鬼$(V)
U+324F1	𲓱	^⿰丁卩$(V)
U+324F2	𲓲	^⿱天卩$(B)
U+324F3	𲓳	^⿱內𰆊$(K)
U+324F4	𲓴	^⿱古𰆊$(K)
U+324F5	𲓵	^⿱白𰆊$(K)
U+324F6	𲓶	^⿱加𰆊$(K)
U+324F7	𲓷	^⿰𬼉卩$(S)
U+324F8	𲓸	^⿱注𰆊$(K)
U+324F9	𲓹	^⿱叙𰆊$(U)
U+324FA	𲓺	^⿸厂自$(G)
U+324FB	𲓻	^⿸厂⿱龷⿰𠄌⿺乀丿$(S)
U+324FC	𲓼	^⿸厂住$(V)
U+324FD	𲓽	^⿸厂孨$(S)
U+324FE	𲓾	^⿰吏𱤽$(V)
U+324FF	𲓿	^⿰台厚$(V)
U+32500	𲔀	^⿸厂⿰亻𠌵$(T)
U+32501	𲔁	^⿸厂⿳⿲有有有⿲有有有⿲有有有$(U)
U+32502	𲔂	^⿱厽𠓞$(S)
U+32503	𲔃	^⿰⿱厶羊昌$(B)
U+32504	𲔄	^⿰去道$(V)
U+32505	𲔅	^⿰血又$(T)
U+32506	𲔆	^⿱论又$(B)
U+32507	𲔇	^⿱叒且$(T)
U+32508	𲔈	^⿰𭁈反$(V)
U+32509	𲔉	^⿰受丑$(V)
U+3250A	𲔊	^⿱阻反$(V)
U+3250B	𲔋	^⿰反者$(V)
U+3250C	𲔌	^⿱双軫$(V)
U+3250D	𲔍	^⿰口勹$(V)
U+3250E	𲔎	^⿰口士$(B)
U+3250F	𲔏	^⿰口小$(G)
U+32510	𲔐	^⿰口仄$(G)
U+32511	𲔑	^⿱二叱$(K)
U+32512	𲔒	^⿰口风$(G)
U+32513	𲔓	^⿰口丹$(B)
U+32514	𲔔	^⿱六口$(G)
U+32515	𲔕	^⿱又叱$(K)
U+32516	𲔖	^⿰口毋$(U)
U+32517	𲔗	^⿱士叱$(K)
U+32518	𲔘	^⿱土叱$(K)
U+32519	𲔙	^⿰口⿻丅口$(B)
U+3251A	𲔚	^⿰口功$(B)
U+3251B	𲔛	^⿰口㘞$(B)
U+3251C	𲔜	^⿰口电$(B)
U+3251D	𲔝	^⿰口㕣$(G)
U+3251E	𲔞	^⿱也叱$(K)
U+3251F	𲔟	^⿱地口$(G)
U+32520	𲔠	^⿱口地$(G)
U+32521	𲔡	^⿱五叱$(K)
U+32522	𲔢	^⿱艹叱$(K)
U+32523	𲔣	^⿰口㐁$(B)
U+32524	𲔤	^⿰口刚$(G)
U+32525	𲔥	^⿱毛叱$(K)
U+32526	𲔦	^⿰口⿱𠆢木$(T)
U+32527	𲔧	^⿱文叱$(K)
U+32528	𲔨	^⿱之叱$(K)
U+32529	𲔩	^⿰口决$(B)
U+3252A	𲔪	^⿰口𱐁$(V)
U+3252B	𲔫	^⿰口助$(G)
U+3252C	𲔬	^⿱巨叱$(K)
U+3252D	𲔭	^⿰口𰓀$(S)
U+3252E	𲔮	^⿰口抓$(B)
U+3252F	𲔯	^⿰口邪$(B)
U+32530	𲔰	^⿰口求$(V)
U+32531	𲔱	^⿱北叱$(K)
U+32532	𲔲	^⿰口妟$(B)
U+32533	𲔳	^⿰口肝$(V)
U+32534	𲔴	^⿰口沐$(G)
U+32535	𲔵	^⿰口没$(GB)
U+32536	𲔶	^⿱况口$(V)
U+32537	𲔷	^⿰口况$(V)
U+32538	𲔸	^⿰口尿$(G)
U+32539	𲔹	^〾⿰口𡥘$(T)
U+3253A	𲔺	^⿱𨸢口$(T)
U+3253B	𲔻	^⿰口环$(G)
U+3253C	𲔼	^⿱⿵卄𠄠叱$(K)
U+3253D	𲔽	^⿰口坵$(B)
U+3253E	𲔾	^⿰口協$(B)
U+3253F	𲔿	^⿰口抱$(U)
U+32540	𲕀	^⿰口𡊰$(V)
U+32541	𲕁	^⿰口盂$(V)
U+32542	𲕂	^⿱昒口$(T)
U+32543	𲕃	^⿰口呵$(B)
U+32544	𲕄	^⿰口明$(VB)
U+32545	𲕅	^⿰口畀$(B)
U+32546	𲕆	^⿱多叱$(K)
U+32547	𲕇	^⿱如可$(K)
U+32548	𲕈	^⿱伊叱$(K)
U+32549	𲕉	^⿱自叱$(K)
U+3254A	𲕊	^⿱朱叱$(K)
U+3254B	𲕋	^⿰口岳$(VB)
U+3254C	𲕌	^⿰口往$(B)
U+3254D	𲕍	^⿰口房$(GB)
U+3254E	𲕎	^⿰口泥$(G)
U+3254F	𲕏	^⿰口府$(TB)
U+32550	𲕐	^⿰口怡$(B)
U+32551	𲕑	^⿰口炕$(U)
U+32552	𲕒	^⿰口𱻊$(V)
U+32553	𲕓	^⿱口於$(V)
U+32554	𲕔	^⿰口怩$(V)
U+32555	𲕕	^⿰口变$(V)
U+32556	𲕖	^⿰口𱣅$(V)
U+32557	𲕗	^⿱吾叱$(K)
U+32558	𲕘	^⿱求叱$(K)
U+32559	𲕙	^⿱扶叱$(K)
U+3255A	𲕚	^⿰口赵$(B)
U+3255B	𲕛	^⿰口柳$(B)
U+3255C	𲕜	^⿰口剋$(U)
U+3255D	𲕝	^⿱古弄$(V)
U+3255E	𲕞	^⿱古那$(V)
U+3255F	𲕟	^⿱㽞一$(S)
U+32560	𲕠	^⿰口昭$(VB)
U+32561	𲕡	^⿰口昧$(B)
U+32562	𲕢	^⿰口思$(B)
U+32563	𲕣	^⿰口盼$(B)
U+32564	𲕤	^⿰口范$(B)
U+32565	𲕥	^⿰口𦬻$(V)
U+32566	𲕦	^⿱何叱$(K)
U+32567	𲕧	^⿰口禹$(K)
U+32568	𲕨	^⿰口盾$(T)
U+32569	𲕩	^⿰口瓮$(B)
U+3256A	𲕪	^⿰口胆$(V)
U+3256B	𲕫	^⿰口洗$(B)
U+3256C	𲕬	^⿰口恰$(B)
U+3256D	𲕭	^⿰口祈$(B)
U+3256E	𲕮	^⿰口洞$(U)
U+3256F	𲕯	^⿰口洡$(V)
U+32570	𲕰	^⿱東叱$(K)
U+32571	𲕱	^⿰口埔$(B)
U+32572	𲕲	^⿰口捛$(V)
U+32573	𲕳	^⿰口財$(T)
U+32574	𲕴	^⿰口峩$(V)
U+32575	𲕵	^⿰口般$(B)
U+32576	𲕶	^⿰口俱$(B)
U+32577	𲕷	^⿰口病$(G)
U+32578	𲕸	^⿰口送$(G)
U+32579	𲕹	^⿱𤇾口$(K)
U+3257A	𲕺	^⿰口託$(B)
U+3257B	𲕻	^⿰口悦$(B)
U+3257C	𲕼	^⿰口娑$(B)
U+3257D	𲕽	^⿰口哿$(B)
U+3257E	𲕾	^⿱司來$(V)
U+3257F	𲕿	^⿰口捲$(B)
U+32580	𲖀	^⿰口推$(B)
U+32581	𲖁	^⿰口聃$(B)
U+32582	𲖂	^⿰口桻$(U)
U+32583	𲖃	^⿰口掹$(U)
U+32584	𲖄	^⿰口掑$(V)
U+32585	𲖅	^⿰口⿱⿰三三皿$(S)
U+32586	𲖆	^⿰口莺$(B)
U+32587	𲖇	^⿰口啄$(B)
U+32588	𲖈	^⿰口⿸虍令$(B)
U+32589	𲖉	^⿰口貨$(G)
U+3258A	𲖊	^⿰口够$(G)
U+3258B	𲖋	^⿰口猛$(B)
U+3258C	𲖌	^⿰口笞$(GU)
U+3258D	𲖍	^⿰口符$(V)
U+3258E	𲖎	^⿰口盖$(G)
U+3258F	𲖏	^⿰口痕$(G)
U+32590	𲖐	^⿱彦叱$(K)
U+32591	𲖑	^⿰口這$(B)
U+32592	𲖒	^⿰口毫$(B)
U+32593	𲖓	^⿲口言⿵冂⿱𠃍一$(B)
U+32594	𲖔	^⿰口淨$(B)
U+32595	𲖕	^⿰口𥩼$(V)
U+32596	𲖖	^⿱建叱$(K)
U+32597	𲖗	^⿰口尉$(B)
U+32598	𲖘	^⿰口陸$(VB)
U+32599	𲖙	^⿰口揰$(B)
U+3259A	𲖚	^⿲口尨鸟$(B)
U+3259B	𲖛	^⿰口殻$(V)	^⿰口殼$(B)
U+3259C	𲖜	^⿰口揖$(GU)
U+3259D	𲖝	^⿰口揼$(U)
U+3259E	𲖞	^⿰口萃$(T)
U+3259F	𲖟	^⿰口菩$(B)
U+325A0	𲖠	^⿰口鼎$(B)
U+325A1	𲖡	^⿰口萌$(V)
U+325A2	𲖢	^⿰口筛$(B)
U+325A3	𲖣	^⿰口飯$(SB)
U+325A4	𲖤	^⿰口順$(B)
U+325A5	𲖥	^⿰口傍$(V)
U+325A6	𲖦	^⿰口傑$(V)
U+325A7	𲖧	^⿱每味$(V)
U+325A8	𲖨	^⿰口訶$(B)
U+325A9	𲖩	^⿰口渣$(B)
U+325AA	𲖪	^⿰口焙$(U)
U+325AB	𲖫	^⿰口犀$(T)
U+325AC	𲖬	^⿰口賀$(B)
U+325AD	𲖭	^⿰口屠$(B)
U+325AE	𲖮	^⿰口絞$(U)
U+325AF	𲖯	^⿰口閑$(V)
U+325B0	𲖰	^⿱帶叱$(K)
U+325B1	𲖱	^⿱曹叱$(K)
U+325B2	𲖲	^⿰口塌$(B)
U+325B3	𲖳	^⿰口逼$(U)
U+325B4	𲖴	^⿰口⿰扌𦮎$(V)
U+325B5	𲖵	^⿰口塢$(V)
U+325B6	𲖶	^⿱排召$(V)
U+325B7	𲖷	^⿰口葢$(S)
U+325B8	𲖸	^⿰口嗄$(B)
U+325B9	𲖹	^⿰口营$(V)
U+325BA	𲖺	^⿰奚各$(S)
U+325BB	𲖻	^⿰口爺$(GB)
U+325BC	𲖼	^⿰口煲$(B)
U+325BD	𲖽	^⿰口債$(V)
U+325BE	𲖾	^⿰口傾$(V)
U+325BF	𲖿	^⿰咅舍$(G)
U+325C0	𲗀	^⿱許叱$(K)
U+325C1	𲗁	^⿰口痴$(B)
U+325C2	𲗂	^⿰口𤚥$(B)
U+325C3	𲗃	^⿰口随$(GB)
U+325C4	𲗄	^⿰口叠$(B)
U+325C5	𲗅	^⿰口隘$(U)
U+325C6	𲗆	^⿰口預$(V)
U+325C7	𲗇	^⿰口瑪$(B)
U+325C8	𲗈	^⿰口歌$(V)
U+325C9	𲗉	^⿰口輒$(V)
U+325CA	𲗊	^⿰口蒼$(T)
U+325CB	𲗋	^〾⿰口署$(T)
U+325CC	𲗌	^⿰口⿸虍命$(B)
U+325CD	𲗍	^⿰口圖$(B)
U+325CE	𲗎	^⿰口夥$(B)
U+325CF	𲗏	^⿰婁后$(V)
U+325D0	𲗐	^⿰口睿$(V)
U+325D1	𲗑	^⿰口蒲$(V)
U+325D2	𲗒	^⿰口演$(G)
U+325D3	𲗓	^⿰口誒$(B)
U+325D4	𲗔	^⿰口粹$(B)
